KRS1222;Kreisname;fl_suv;fl_landw;fl_wald;bev_binw;bev_ausw;ko_kasskred;bev_u18;bev_18_65;bev_ue65;bev_ausl;mitgl_sportv;ew_sportv;preis_miet;wohn_eigen;wohn_leer;wohn_EZFH;wohn_MFH;heiz_wohn_best;heiz_wohn;bquali_unifh;bquali_mabschl;bquali_oabschl;erw_wachs;erw_mini;erw_minineben;alq;schulden;sozsich;auto;v_harzt;v_karzt;schule_oabschl;kbetr_u3;kbetr_ue3;kbetr_ue6;kinder_bg;straft;einbr
3101000;Braunschweig, Stadt;47,1;36,13;13,39;-86,73;245,59;0;15,02;63,94;21,05;13,14;25,18;84,19;8,50 bis unter 10,00;29,9;3,73;4,5;8,8;2,12;14,29;24,41;57,15;11,77;0,97;8,97;5,6;5,42;7,41;9,96;585,7;65,4;72,5;6,47;38,96;92,1;39,12;14,06;8904,15;118,35
3102000;Salzgitter, Stadt;28,59;49,49;18,08;-31,37;161,17;1710,75;19,01;58,11;22,87;21,51;19,99;98,52;5,50 bis unter 7,00;44,0;7,35;7,7;10,9;1,61;30,93;13,92;65,24;11,17;0,19;6,92;4,31;9,53;11,62;14,49;540,7;56;51;8,41;18,03;80,76;16,98;23,98;6728,01;103,30
3103000;Wolfsburg, Stadt;31,8;39,91;24,05;6,43;192,76;555,73;17,76;59,93;22,31;18,32;31,3;80,18;7,00 bis unter 8,50;41,3;5,79;6,4;18,4;3,17;6,73;29,26;56;6,13;0,11;4,3;3,07;6,05;6,69;9,54;980,4;57;65,7;2,3;38,94;91,71;10,43;15,98;7523,76;76,21
3151000;Gifhorn;11,24;50,39;34,95;37,01;118,07;19,44;18,78;60,18;21,05;8,66;37,86;143,15;8,50 bis unter 10,00;65,4;3,96;30,7;13,7;7,84;57,67;16,06;63,69;12,61;1;11,76;6,39;4,53;6,38;6,45;617,8;54,4;44;4,66;32,34;86,86;16,55;9,16;4405,43;103,76
3153000;Goslar;11,14;27,83;58,32;-61,33;222,61;74,25;13,83;58,43;27,74;11,41;29,69;161,87;5,50 bis unter 7,00;47,6;8,59;8,9;1,2;3,29;53,68;11,8;70,29;11,74;-0,11;10,93;6,46;7,06;10,6;10,39;601,3;70;39,2;7,64;35,82;92,94;20,22;17,43;6962,84;102,47
3154000;Helmstedt;12,47;58,65;25,61;60,88;138,75;627,27;16,97;59,27;23,76;9,14;35,87;174,11;7,00 bis unter 8,50;59,0;7,35;23,7;7;5,57;46,83;11,49;66,94;14,9;0,62;9,63;5,07;6,17;9,24;8,65;622,1;59,2;42;6,74;35,69;84,28;15,13;12,54;6754,62;86,51
3155000;Northeim;11,64;48,13;38,86;37,9;165,47;7,5;15,8;58,18;26,01;8,62;37,52;201,86;5,50 bis unter 7,00;56,5;7;12,4;10,5;8,48;70,82;11,4;70,23;12,14;0,24;10,6;6,48;5,73;8,44;8,47;676,6;76,5;48,7;5,3;31,75;88,92;14,8;13,5;5264,22;64,54
3157000;Peine;18,25;67,97;10,52;60,75;126,61;80,05;18,58;59,83;21,59;10,08;34,09;129,56;8,50 bis unter 10,00;61,8;4,29;5,4;6;5,74;68,35;11,33;64,27;15,31;0,3;12,72;7,54;5,69;7,86;9,06;628,1;57,4;39,1;4,76;30,22;86,02;15;14,38;5573,27;100,05
3158000;Wolfenbüttel;12,12;67,03;19,41;55,59;116,15;106,14;16,2;59,43;24,38;7,84;40,12;180,04;7,00 bis unter 8,50;56,6;4,99;14,2;12,1;5,14;48,9;15,17;67,47;10,86;0,39;12,62;7,03;5,32;6,9;8,25;635,7;57,9;42,9;5,19;33,1;91,88;21,04;12,95;4492,62;119,47
3159000;Göttingen;13,8;42,12;42,45;-297,36;495,68;138,65;15,69;60,99;23,33;10,93;36,65;164,71;8,50 bis unter 10,00;42,6;5,32;7,5;28,6;5,51;39,86;19,62;62,34;12,56;0,54;10,54;5,72;6,48;7,67;8,75;566,4;69,8;53,8;6,28;36,83;88,91;17,98;12,23;7467,32;65,15
3241000;Region Hannover;22,53;51,41;20,38;21,33;156,96;247,94;16,96;61,63;21,41;16,43;23,45;82,8;8,50 bis unter 10,00;37,5;3,57;8,8;26,2;2,82;22,92;20,81;58,16;12,88;0,95;8,81;6,69;7,46;8,51;12,32;508,3;64,7;48,3;6,23;35,44;90,37;24,37;18,87;9921,02;125,99
